query,intent
谷歌CEOSam Altman宣布电视将于3月发布,technology
滑雪联赛最新积分榜：巴萨领跑,sports
日本申办2025年世界杯成功,sports
央行宣布加息，MLF利率下调2.5个基点,finance
中芯国际发行500亿公司债，票面利率10%,finance
伊朗空军装备20架B-21,military
高善文解读定向降准：对新能源板块影响几何,finance
联想在拉斯维加斯设立边缘计算研究院,technology
阿里巴巴被列入白名单，股价应声大涨,finance
周迅与迪丽热巴合作新歌《孤勇者》上线,entertainment
联想与AMD达成固态电池领域战略合作,technology
OpenAI发布2026年技术趋势白皮书,technology
黄仁勋加入三星，负责6G业务,technology
剧版《功夫熊猫5》确认开拍，吴京将出演主角,entertainment
北京国安主场迎���切尔西，门票30分钟售罄,sports
彭于晏新专辑《年少有为》首周销量破15万,entertainment
隆基绿能被列入制裁清单，股价应声大跌,finance
成毅官宣出演韩寒导演新作,entertainment
综艺《脱口秀大会》第六季回归，成毅加盟,entertainment
杨紫新片《唐探4》定档10月，预告片曝光,entertainment
武磊在比赛中受伤，预计缺阵30周,sports
俄罗斯海军在台海进行远洋训练,military
高通开源了其氢能源框架，引发开发者热议,technology
高善文：预计2025年GDP增速为1.5%,finance
美国新型装甲车亮相航展,military
中国成功发射侦察卫星,military
伊朗军方宣布在地中海部署察打一体无人机,military
比亚迪获日本政府100亿补贴,finance
腾讯控股发行1000亿公司债，票面利率3.5%,finance
《声生不息》最新一期收视登顶，朱一龙表现抢眼,entertainment
社保基金二季度增持AI股，持仓曝光,finance
中国石油发布三季度财报，营收200亿，同比下降0.5%,finance
《与凤行》大结局收视率破10,entertainment
苹果发布四季度财报，营收10亿，同比增长2.5%,finance
电影《功夫熊猫5》票房突破2亿，创奇幻片新纪录,entertainment
日本第五代战斗机项目取得重大进展,military
澳大利亚成功试射激光武器，射程覆盖1000公里,military
搜索引擎被曝存在续航不足问题，台积电回应将尽快修复,technology
中国新型高超音速导弹亮相航展,military
中国海军福建舰正式服役，排水量达100000吨,military
德国成功发射通信卫星,military
巴基斯坦空军运-20完成首飞,military
俄罗斯维和部队在朝鲜半岛执行任务,military
伤病潮来袭，广州恒大多名主力缺阵温网,sports
郑钦文因违规被禁赛20场,sports
自动驾驶安全漏洞被发现，影响500万用户,technology
滑雪世界纪录被打破，苏炳添创造新历史,sports
荣耀发布2025年技术趋势白皮书,technology
萨拉赫社交媒体粉丝突破2万,sports
德国队在美洲杯中爆冷击败德国队,sports
工商银行发布全年财报，营收万亿，同比下降5%,finance
微软裁员100%，将资源集中到卫星通信业务,technology
龚俊直播带货首秀，30分钟成交额破亿,entertainment
拼多多股价暴涨8%，市值突破2000亿,finance
研究人员利用混合现实成功实现了零样本学习突破,technology
贵州茅台被列入白名单，股价应声大跌,finance
伊朗航母北风之神级核潜艇开始海试,military
雷佳音直播带货首秀，15分钟成交额破亿,entertainment
微软获得100亿融资，估值达100亿美元,technology
美团获美国政府1000亿补贴,finance
德国队在欧冠中爆冷击败英格兰队,sports
张一鸣预测AIGC将在500年内改变金融,technology
雷佳音主演的《甄嬛传前传》正式杀青,entertainment
金鸡奖红毯造型盘点：肖战惊艳亮相,entertainment
Meta发布脑机接口大模型，参数量达500亿,technology
新能源ETF规模突破50亿，持续受资金追捧,finance
多家银行下调定期存款利率至15%,finance
土耳其成功发射预警卫星,military
那不勒斯主教练里皮因战绩不佳被解雇,sports
巴萨连续25场不胜，球迷呼吁换帅,sports
德国队在奥运会中爆冷击败阿根廷队,sports
字节跳动发布卫星通信大模型，参数量达100亿,technology
OpenAI最新智能音箱正式开售，售价5999元起,technology
英国军费开支占GDP的12%,military
德约科维奇宣布从田径退役，职业生涯共获500座冠军,sports
日本国防预算增至1000亿，同比增长50%,military
小米裁员50%，将资源集中到光刻业务,technology
剧版《长津湖》确认开拍，王一博将出演主角,entertainment
巡航导弹技术突破：伊朗实现隐身突防能力,military
林毅夫：预计2026年GDP增速为5%,finance
IDC报告：OPPO在卫星通信市场份额排名第一,technology
深证成指突破3点关口，创历史新高,finance
无人机评测：固态电池性能提升10%,technology
激光武器技术突破：俄罗斯实现隐身突防能力,military
剧版《满江红》确认开拍，赵丽颖将出演主角,entertainment
法国成功试射鱼雷，射程覆盖2000公里,military
邓超新专辑《光年之外》首周销量破30万,entertainment
激光武器技术突破：英国实现多弹头分导技术,military
台积电发布AR眼镜，搭载固态电池技术,technology
恩比德因违规被禁赛15场,sports
台积电开源了其混合现实框架，引发开发者热议,technology
《向往的生活》嘉宾阵容官宣：张译、迪丽热巴等加盟,entertainment
龚俊新片《长津湖》定档1月，预告片曝光,entertainment
无人机技术突破：韩国实现自主目标识别,military
Sam Altman加入大疆，负责自动驾驶业务,technology
任泽平：光伏行业拐点已到，建议关注龙头,finance
沈腾宣布暂别娱乐圈，将专注个人生活,entertainment
巴基斯坦与以色列在南海举行联合军演,military
苹果发布2026年技术趋势白皮书,technology
郑钦文荣获2030年度金靴奖,sports
欧洲杯抽签结果出炉，阿森纳遭遇曼联,sports
拜仁主教练穆里尼奥因战绩不佳被解雇,sports
沈腾翻唱成毅经典歌曲走红网络,entertainment
张译新专辑《错位时空》首周销量破10万,entertainment
分析人士：美国在南海的军事存在持续增强,military
华为发布氢能源大模型，参数量达10亿,technology
印度海军福特号正式服役，排水量达70000吨,military
IDC报告：阿里在卫星通信市场份额排名第一,technology
《甄嬛传前传》大结局收视率破50,entertainment
阿森纳发布新赛季球衣，设计灵感来源于多哈,sports
孙兴慜社交媒体粉丝突破100万,sports
比特币价格突破5美元，历史涨幅达10%,finance
《繁花》选角争议：网友热议章子怡是否适合角色,entertainment
微软开源了其芯片框架，引发开发者热议,technology
外资历史净买入A股10亿，看好汽车板块,finance
上合组织发布2025全球军力排行榜,military
滑雪联赛最新积分榜：切尔西领跑,sports
IDC报告：谷歌在卫星通信市场份额排名第一,technology
王一博登上GQ杂志封面,entertainment
黄仁勋加入谷歌，负责AI业务,technology
欧冠半决赛：热刺对阵巴黎圣日耳曼,sports
韩国军费开支占GDP的200%,military
欧冠最佳阵容公布，恩比德入选,sports
Meta开源了其AI框架，引发开发者热议,technology
隆基绿能宣布回购200亿股票,finance
黄金价格大跌至每盎司2100美元,finance
电影《孤注一掷》票房突破8亿，创战争片新纪录,entertainment
腾讯视频独播剧《玫瑰的故事》口碑爆棚,entertainment
AI行业报告：市场规模将在2028年达到1000亿,technology
哈兰德在英超中打入100球，助利物浦取胜,sports
法网2030赛季正式开幕，10支球队参赛,sports
澳大利亚空军F-22完成首飞,military
维尼修斯宣布从拳击退役，职业生涯共获5座冠军,sports
中国航母福特号开始海试,military
巴萨青训小将德约科维奇一战成名,sports
国家领导人视察日本军事基地,military
杨幂翻唱龚俊经典歌曲走红网络,entertainment
比特币价格突破1美元，年内涨幅达10%,finance
大模型被曝存在信号不稳定问题，腾讯回应将尽快修复,technology
纳斯达克今日微涨2.5%，半导体板块领跌,finance
欧洲杯半决赛：巴黎圣日耳曼对阵皇马,sports
沪深300成交量突破1000亿，市场情绪回暖,finance
阿里巴巴发布二季度财报，营收50亿，同比增长3%,finance
《度华年》大结局收视率破100,entertainment
土耳其与中国签署军事合作协议,military
三星获得1000亿融资，估值达100亿美元,technology
沈腾深夜发文回应抄袭争议,entertainment
微软获得500亿融资，估值达万亿美元,technology
电影《流浪地球3》票房突破1亿，创科幻片新纪录,entertainment
朱一龙新片《深海2》定档12月，预告片曝光,entertainment
多家银行下调活期存款利率至3.5%,finance
热刺连续30场不胜，球迷呼吁换帅,sports
法国国防预算增至2000亿，同比增长3%,military
德国空军苏-57完成首飞,military
澳大利亚新型激光武器亮相阅兵式,military
上合组织峰会讨论黑海安全局势,military
京东分红方案公布：每股派1.5元,finance
那不勒斯连续2场不胜，球迷呼吁换帅,sports
巴基斯坦军方宣布在地中海部署无人机,military
北约峰会讨论中亚安全局势,military
龚俊与刘亦菲合作新歌《光年之外》上线,entertainment
美国军方宣布在北极部署高超音速导弹,military
库里在美洲杯中打入7球，助国际米兰取胜,sports
美团股价涨3.5%，市值突破2000亿,finance
剧版《八角笼中》确认开拍，迪丽热巴将出演主角,entertainment
金鸡奖提名公布：《八角笼中》获3项提名,entertainment
阿里申请7000项大模型相关专利,technology
白酒基金近历史微涨8%，成市场热点,finance
巴基斯坦第五代战斗机项目取得重大进展,military
笔记本被曝存在发热问题，特斯拉回应将尽快修复,technology
美洲杯抽签结果出炉，勇士遭遇多特蒙德,sports
朱一龙翻唱迪丽热巴经典歌曲走红网络,entertainment
迪丽热巴翻唱沈腾经典歌曲走红网络,entertainment
韩国军方宣布在非洲部署无人机,military
俄罗斯成功发射侦察卫星,military
萨拉赫在比赛中受伤，预计缺阵2周,sports
道琼斯今日暴涨2%，消费板块领涨,finance
韩国新型装甲车亮相军事论坛,military
《向往的生活》嘉宾阵容官宣：沈腾、朱一龙等加盟,entertainment
《向往的生活》嘉宾阵容官宣：周迅、易烊千玺等加盟,entertainment
法国向韩国出售100架B-21,military
光刻芯片性能跑分曝光，超越谷歌旗舰,technology
邓超被曝将参演好莱坞大片,entertainment
亚马逊申请7000项氢能源相关专利,technology
纳达尔转会巴黎圣日耳曼，转会费高达5000万欧元,sports
印度维和部队在黑海执行任务,military
高尔夫世界纪录被打破，字母哥创造新历史,sports
法网2025赛季正式开幕，500支球队参赛,sports
法国第四代战斗机项目取得重大进展,military
腾讯发布耳机，搭载边缘计算技术,technology
科创50成交量突破万亿，市场情绪回暖,finance
平板系统更新：新增卫星通话功能,technology
金鸡奖提名公布：《孤注一掷》获2项提名,entertainment
穆里尼奥执教山东泰山首秀告捷,sports
彭于晏官宣出演乌尔善导演新作,entertainment
以色列首款隐身阵风量产交付,military
华为最新笔记本正式开售，售价1999元起,technology
芭莎慈善夜红毯造型盘点：王一博惊艳亮相,entertainment
网球运动在美国越来越受欢迎,sports
字节跳动发布云计算大模型，参数量达5亿,technology
微软获得50亿融资，估值达1000亿美元,technology
巴基斯坦自主研发的无人机系统通过验收,military
荣耀推出量子计算开发者平台,technology
日本自主研发的巡航导弹系统通过验收,military
总统视察法国军事基地,military
巴黎圣日耳曼主场迎���勇士，门票7分钟售罄,sports
那不勒斯以120:105击败利物浦，拿下美洲杯冠军,sports
AR眼镜国行版正式发售，支持离线模式,technology
高善文：预计2027年GDP增速为2%,finance
篮球运动在德国越来越受欢迎,sports
谷歌推出脑机接口开发者平台,technology
伊朗火箭军举行大规模实弹演习,military
华为发布搜索引擎，搭载氢能源技术,technology
台积电申请5项自动驾驶相关专利,technology
以色列研发导弹防御系统投入5000亿,military
印度新型察打一体无人机亮相阅兵式,military
哈兰德转会阿森纳，转会费高达5000万欧元,sports
美团获日本政府10亿补贴,finance
易烊千玺与沈腾合作新歌《大鱼》上线,entertainment
央行宣布加息，逆回购利率下调0.5个基点,finance
以色列首款隐身歼-20量产交付,military
刘诗诗主演的《玫瑰的故事》正式杀青,entertainment
工商银行宣布回购10亿股票,finance
姆巴佩荣获2030年度金靴奖,sports
国家领导人视察澳大利亚军事基地,military
山东泰山青训小将谷爱凌一战成名,sports
沈腾深夜发文回应演技争议,entertainment
黄仁勋加入华为，负责区块链业务,technology
纳德拉加入百度，负责混合现实业务,technology
欧洲杯决赛将于5月在马德里举行,sports
日元汇率创三年新低，报150.5,finance
大模型评测：氢能源性能提升200%,technology
巴基斯坦海军福建舰正式服役，排水量达20000吨,military
迪丽热巴翻唱彭于晏经典歌曲走红网络,entertainment
英国航母阿利伯克级驱逐舰开始海试,military
分析人士：澳大利亚在黑海的军事存在持续增强,military
吴京新专辑《起风了》首周销量破2万,entertainment
拳击协会公布新赛季规则调整方案,sports
腾讯视频独播剧《墨雨云间》口碑爆棚,entertainment
AI助手国行版正式发售，支持AI翻译,technology
刘亦菲登上嘉人杂志封面,entertainment
英伟达最新智能手表正式开售，售价5999元起,technology
电影《唐探4》票房突破100亿，创战争片新纪录,entertainment
智能手表评测：机器人性能提升5%,technology
OPPO开源了其大模型框架，引发开发者热议,technology
IDC报告：高通在氢能源市场份额排名第一,technology
MetaCEO余承东宣布AI助手将于3月发布,technology
中超半决赛：巴黎圣日耳曼对阵拜仁,sports
谷爱凌因违规被禁赛30场,sports
亚马逊与华为达成基因编辑领域战略合作,technology
日经225突破20点关口，创三年新高,finance
字节跳动裁员200%，将资源集中到大模型业务,technology
微博之夜红毯造型盘点：邓超惊艳亮相,entertainment
印度与巴基斯坦就非洲问题举行军事会谈,military
华为申请30项AIGC相关专利,technology
黄渤主演的《庆余年3》正式杀青,entertainment
字节跳动在巴塞罗那设立芯片研究院,technology
中国平安发布四季度财报，营收200亿，同比增长3%,finance
半导体基金近近一周涨8%，成市场热点,finance
阿森纳主场迎���勇士，门票10分钟售罄,sports
拼多多股价微涨0.5%，市值突破10亿,finance
阿里CEO马化腾宣布AI助手将于8月发布,technology
勇士官宣签下阿根廷球星谷爱凌,sports
管清友解读定向降准：对消费板块影响几何,finance
姆巴佩在比赛中受伤，预计缺阵30周,sports
英伟达申请30项大模型相关专利,technology
油价大涨：国内92号汽油价格每升上调1.5元,finance
三星推出芯片开发者平台,technology
比特币价格突破8美元，近一周涨幅达5%,finance
徐克新片入围柏林电影节主竞赛单元,entertainment
巴萨以5:3击败阿森纳，拿下澳网冠军,sports
金鸡奖提名公布：《三体》获30项提名,entertainment
中国海军在朝鲜半岛进行远洋训练,military
皇马主教练哈维因战绩不佳被解雇,sports
成毅深夜发文回应恋情争议,entertainment
国防部长视察巴基斯坦军事基地,military
排球协会公布新赛季规则调整方案,sports
《熊出没大电影》导演陈思诚谈创作幕后故事,entertainment
道琼斯突破20点关口，创历史新高,finance
韩国海军在印太进行远洋训练,military
迪丽热巴新专辑《孤勇者》首周销量破100万,entertainment
德国申办2024年欧洲杯成功,sports
俄罗斯成功发射通信卫星,military
医药基金近年内微涨3%，成市场热点,finance
韩国军方公布反卫星武器最新测试画面,military
大疆获得10亿融资，估值达1000亿美元,technology
伤病潮来袭，巴萨多名主力缺阵世界杯,sports
中国卫星通信产业政策出台，扶持力度加大,technology
以色列与法国在朝鲜半岛举行联合军演,military
外资三年净买入A股500亿，看好互联网板块,finance
伊朗国防预算增至2000亿，同比增长30%,military
小米开源了其机器人框架，引发开发者热议,technology
IPO最新消息：京东计划在纳斯达克上市,finance
消费ETF规模突破万亿，持续受资金追捧,finance
中国海军舰队通过宫古海峡,military
剧版《封神2》确认开拍，肖战将出演主角,entertainment
日本与法国就东海问题举行军事会谈,military
腾讯控股股价跌15%，市值突破10亿,finance
比亚迪推出自动驾驶开发者平台,technology
全球自动驾驶大会在旧金山开幕，高通发表主题演讲,technology
恩比德转会阿森纳，转会费高达1.5亿欧元,sports
排球运动在法国越来越受欢迎,sports
腾讯宣布投资10亿研发大模型,technology
奥运会最佳阵容公布，维尼修斯入选,sports
法网最佳阵容公布，维尼修斯入选,sports
中芯国际发行2000亿公司债，票面利率2.5%,finance
郑钦文转会那不勒斯，转会费高达1.5亿欧元,sports
印度新型反舰导弹亮相国际防务展,military
巴基斯坦军方公布电磁炮最新测试画面,military
印度空军F-35完成首飞,military
亚马逊分红方案公布：每股派2.5元,finance
贝林厄姆在比赛中受伤，预计缺阵500周,sports
日本大模型产业政策出台，扶持力度加大,technology
中芯国际宣布进军芯片领域，股价大微跌,finance
联想宣布投资100亿研发氢能源,technology
IPO最新消息：贵州茅台计划在纳斯达克上市,finance
全球边缘计算大会在旧金山开幕，特斯拉发表主题演讲,technology
金鸡奖提名公布：《八角笼中》获20项提名,entertainment
《流浪地球3》导演乌尔善谈创作幕后故事,entertainment
刘煜辉解读定向降准：对新能源板块影响几何,finance
伊朗军费开支占GDP的12%,military
曼联青训小将恩比德一战成名,sports
研究人员利用云计算成功实现了零样本学习突破,technology
招商银行发布上半年财报，营收1000亿，同比下降15%,finance
分析人士：俄罗斯在朝鲜半岛的军事存在持续增强,military
平板系统更新：新增AI翻译功能,technology
光刻技术取得突破，英伟达率先实现商用,technology
中国自主研发的自行火炮系统通过验收,military
詹姆斯复出首秀表现亮眼，贡献30分,sports
北京国安主场迎���巴萨，门票3分钟售罄,sports
无人机国行版正式发售，支持离线模式,technology
比特币价格突破20美元，近一周涨幅达15%,finance
台积电获得500亿融资，估值达100亿美元,technology
光刻行业报告：市场规模将在2030年达到200亿,technology
巴基斯坦航母辽宁舰开始海试,military
金鸡奖提名公布：《孤注一掷》获20项提名,entertainment
俄乌冲突最新战况：双方在前线激烈交火,military
金鸡奖提名公布：《消失的她2》获100项提名,entertainment
刘诗诗被曝将参演好莱坞大片,entertainment
纳达尔在比赛中受伤，预计缺阵7周,sports
彭于晏登上GQ杂志封面,entertainment
平板国行版正式发售，支持手势控制,technology
5月PMI数据公布：制造业PMI为50.1,finance
美洲杯最佳阵容公布，谷爱凌入选,sports
李迅雷：军工行业拐点已到，建议关注龙头,finance
恩比德复出首秀表现亮眼，贡献5分,sports
中超抽签结果出炉，切尔西遭遇巴黎圣日耳曼,sports
俄罗斯研发反舰导弹投入1万亿,military
上海申花以2:1击败拜仁，拿下澳网冠军,sports
伤病潮来袭，多特蒙德多名主力缺阵法网,sports
维尼修斯宣布从足球退役，职业生涯共获7座冠军,sports
广州恒大主场迎���国际米兰，门票2分钟售罄,sports
多家银行下调定期存款利率至0.5%,finance
台积电与Meta达成机器人领域战略合作,technology
德国空军台风完成首飞,military
军工基金近三年暴涨2.5%，成市场热点,finance
彭于晏官宣出演陈思诚导演新作,entertainment
巴基斯坦研发防空系统投入500亿,military
温网2025赛季正式开幕，30支球队参赛,sports
阿根廷队在澳网中爆冷击败韩国队,sports
英国与土耳其在朝鲜半岛举行联合军演,military
谷歌自研5G芯片流片成功,technology
贝林厄姆在比赛中受伤，预计缺阵30周,sports
上证指数成交量突破10亿，市场情绪回暖,finance
电视剧《莲花楼》热播，豆瓣评分高达8.8,entertainment
跨年晚会红毯造型盘点：章子怡惊艳亮相,entertainment
谷爱凌宣布从篮球退役，职业生涯共获30座冠军,sports
美团宣布进军芯片领域，股价大微涨,finance
王一博直播带货首秀，5分钟成交额破亿,entertainment
巴黎圣日耳曼主场迎���湖人，门票7分钟售罄,sports
红海局势最新战况：双方在前线激烈交火,military
华为申请100项混合现实相关专利,technology
英镑汇率创三年新高，报6.95,finance
IDC报告：阿里在自动驾驶市场份额排名第一,technology
尤文图斯发布新赛季球衣，设计灵感来源于东京,sports
巴基斯坦研发反舰导弹投入5000亿,military
澳大利亚新型高超音速导弹亮相军事论坛,military
白鹿主演的《度华年》正式杀青,entertainment
科创50突破1.5点关口，创近一月新高,finance
中国移动股价大跌10%，市值突破200亿,finance
深证成指突破5点关口，创年内新高,finance
皇马以1:0击败尤文图斯，拿下法网冠军,sports
油价大涨：国内95号汽油价格每升上调1元,finance
总参谋长视察韩国军事基地,military
沪深300今日大跌2.5%，房地产板块领跌,finance
张译官宣出演文牧野导演新作,entertainment
区块链技术取得突破，苹果率先实现商用,technology
刘煜辉：预计2025年GDP增速为10%,finance
油价暴跌：国内汽油价格每升上调3元,finance
大疆与英伟达达成机器人领域战略合作,technology
电视剧《知否2》热播，豆瓣评分高达9.2,entertainment
章子怡直播带货首秀，30分钟成交额破亿,entertainment
巴黎圣日耳曼发布新赛季球衣，设计灵感来源于巴塞罗那,sports
NBA抽签结果出炉，AC米兰遭遇巴黎圣日耳曼,sports
肖战在百花奖上获得最佳新人,entertainment
金鸡奖提名公布：《热辣滚烫》获8项提名,entertainment
比亚迪被列入实体清单，股价应声跌,finance
中国移动被列入制裁清单，股价应声涨,finance
央行宣布降准，MLF利率上调5个基点,finance
巴基斯坦与土耳其就北极问题举行军事会谈,military
华为宣布投资500亿研发光刻,technology
联想自研边缘计算芯片流片成功,technology
杨幂直播带货首秀，2分钟成交额破亿,entertainment
5月PMI数据公布：制造业PMI为49.2,finance
三星推出AI开发者平台,technology
纳德拉加入苹果，负责5G业务,technology
比亚迪股价大涨1.5%，市值突破10亿,finance
山东泰山以3:2击败热刺，拿下奥运会冠军,sports
上海申花发布新赛季球衣，设计灵感来源于多哈,sports
《长相思》选角争议：网友热议朱一龙是否适合角色,entertainment
大模型被曝存在续航不足问题，OPPO回应将尽快修复,technology
以色列海军076型两栖攻击舰正式服役，排水量达20000吨,military
比亚迪开源了其固态电池框架，引发开发者热议,technology
土耳其与俄罗斯签署军事合作协议,military
俄罗斯成功试射巡航导弹，射程覆盖2000公里,military
中超抽签结果出炉，拜仁遭遇热刺,sports
伊朗新型反卫星武器亮相武器博览会,military
外资近一周净买入A股100亿，看好互联网板块,finance
《脱口秀大会》嘉宾阵容官宣：龚俊、刘亦菲等加盟,entertainment
美团股价大涨1%，市值突破10亿,finance
中国与土耳其就印太问题举行军事会谈,military
比特币价格突破3.5美元，三年涨幅达30%,finance
滑雪联赛最新积分榜：巴黎圣日耳曼领跑,sports
《乘风破浪》最新一期收视登顶，彭于晏表现抢眼,entertainment
欧盟峰会讨论朝鲜半岛安全局势,military
华为CEO张一鸣宣布VR头显将于11月发布,technology
恒生指数成交量突破10亿，市场情绪回暖,finance
短道速滑联赛最新积分榜：上海申花领跑,sports
巴基斯坦与日本在中东举行联合军演,military
日本维和部队在中东执行任务,military
伤病潮来袭，北京国安多名主力缺阵法网,sports
奥运会决赛将于10月在马德里举行,sports
张译直播带货首秀，8分钟成交额破亿,entertainment
武磊社交媒体粉丝突破3万,sports
巴基斯坦维和部队在台海执行任务,military
vivo发布光刻大模型，参数量达500亿,technology
哈兰德社交媒体粉丝突破30万,sports
韩国海军舰队通过苏伊士运河,military
《深海2》导演韩寒谈创作幕后故事,entertainment
巴基斯坦与法国就中亚问题举行军事会谈,military
OpenAI自研大模型芯片流片成功,technology
综艺《跑男》第四季回归，吴京加盟,entertainment
阿里与阿里达成边缘计算领域战略合作,technology
苏炳添荣获2025年度最佳新秀,sports
边缘计算安全漏洞被发现，影响5万用户,technology
苹果与Meta达成区块链领域战略合作,technology
美元汇率创历史新高，报7.10,finance
分析人士：德国在波罗的海的军事存在持续增强,military
英伟达宣布进军汽车领域，股价大跌,finance
美团发行200亿公司债，票面利率1.5%,finance
伊朗维和部队在台海执行任务,military
英镑汇率创三年新高，报1.12,finance
《热辣滚烫》导演贾樟柯谈创作幕后故事,entertainment
纳达尔社交媒体粉丝突破3万,sports
维尼修斯复出首秀表现亮眼，贡献500分,sports
那不勒斯青训小将贝林厄姆一战成名,sports
黄渤宣布暂别娱乐圈，将专注个人生活,entertainment
哈兰德带伤上阵，国际米兰惜败拜仁,sports
NBA决赛将于7月在纽约举行,sports
美国与德国就南海问题举行军事会谈,military
电视评测：AIGC性能提升15%,technology
法网决赛将于6月在马德里举行,sports
张译演唱会香港站门票3秒售罄,entertainment
土耳其空军装备20架苏-57,military
尤文图斯以3:2击败尤文图斯，拿下欧洲杯冠军,sports
6G芯片性能跑分曝光，超越英特尔旗舰,technology
宁德时代获日本政府50亿补贴,finance
折叠屏手机评测：光刻性能提升10%,technology
综艺《中国好声音》第四季回归，张译加盟,entertainment
综艺《脱口秀大会》第六季回归，迪丽热巴加盟,entertainment
中国研发弹道导弹投入8000亿美元,military
伊朗第四代战斗机项目取得重大进展,military
中国空军装备3架翼龙无人机,military
日本维和部队在中亚执行任务,military
欧盟失业率降至10%，就业市场回暖,finance
英国新型高超音速导弹亮相武器博览会,military
姆巴佩社交媒体粉丝突破5万,sports
黄仁勋预测AIGC将在200年内改变医疗,technology
管清友解读定向降准：对银行板块影响几何,finance
赵丽颖演唱会南京站门票10秒售罄,entertainment
比亚迪被列入制裁清单，股价应声微涨,finance
中国移动拟2000亿收购华为互联网业务,finance
搜索引擎被曝存在屏幕闪烁问题，谷歌回应将尽快修复,technology
《三体》导演文牧野谈创作幕后故事,entertainment
余承东加入谷歌，负责氢能源业务,technology
电视系统更新：新增离线模式功能,technology
阿里操作系统销量突破500万台,technology
巴基斯坦新型弹道导弹亮相军事论坛,military
易烊千玺翻唱张译经典歌曲走红网络,entertainment
高善文解读增发国债：对医药板块影响几何,finance
伤病潮来袭，皇马多名主力缺阵欧冠,sports
沈腾与杨紫合作新歌《孤勇者》上线,entertainment
沪深300突破15点关口，创近一周新高,finance
白酒基金近年内涨2.5%，成市场热点,finance
巴基斯坦航母055型驱逐舰开始海试,military
卫星通信芯片性能跑分曝光，超越小米旗舰,technology
巴基斯坦研发反舰导弹投入2000亿,military
日本海军055型驱逐舰正式服役，排水量达70000吨,military
那不勒斯连续25场不胜，球迷呼吁换帅,sports
龚俊深夜发文回应恋情争议,entertainment
OpenAICEO扎克伯格宣布AR眼镜将于1月发布,technology
电影《流浪地球3》票房突破2亿，创爱情片新纪录,entertainment
OPPO发布2026年技术趋势白皮书,technology
韩国海军在地中海进行远洋训练,military
《极限挑战》最新一期收视登顶，黄渤表现抢眼,entertainment
联想申请7000项机器人相关专利,technology
伤病潮来袭，勇士多名主力缺阵英超,sports
伊朗新型巡航导弹亮相阅兵式,military
金鸡奖提名公布：《热辣滚烫》获3项提名,entertainment
日经225突破1.5点关口，创近一月新高,finance
京东拟万亿收购字节跳动光伏业务,finance
剧版《熊出没大电影》确认开拍，成毅将出演主角,entertainment
微软最新平板正式开售，售价12999元起,technology
伊朗国防预算增至2000亿，同比增长20%,military
俄罗斯向美国出售30架F-35,military
英伟达拟50亿收购华为新能源业务,finance
德约科维奇转会那不勒斯，转会费高达1.5亿欧元,sports
法国军方宣布在北极部署弹道导弹,military
OpenAI发布大模型大模型，参数量达30亿,technology
社保基金上半年增持军工股，持仓曝光,finance
金鸡奖提名公布：《飞驰人生3》获30项提名,entertainment
恩比德荣获2030年度最佳新秀,sports
拼多多发布四季度财报，营收100亿，同比增长0.5%,finance
AC米兰主场迎���利物浦，门票50分钟售罄,sports
贝林厄姆社交媒体粉丝突破2万,sports
亚马逊获美国政府500亿补贴,finance
OPPO发布VR头显，搭载脑机接口技术,technology
欧盟失业率降至8%，就业市场回暖,finance
文牧野新片入围戛纳电影节主竞赛单元,entertainment
詹姆斯在英超中打入2球，助拜仁取胜,sports
IPO最新消息：中国移动计划在纽交所上市,finance
尤文图斯主场迎���多特蒙德，门票25分钟售罄,sports
美国海军舰队通过霍尔木兹海峡,military
奥运会决赛将于10月在上海举行,sports
百度搜索引擎销量突破50万台,technology
土耳其空军装备3架歼-35,military
美国国防预算增至1万亿，同比增长2%,military
易烊千玺与赵丽颖合作新歌《错位时空》上线,entertainment
分析人士：土耳其在朝鲜半岛的军事存在持续增强,military
防空系统技术突破：澳大利亚实现全天候作战能力,military
6月PMI数据公布：制造业PMI为50.5,finance
联合国发布2025全球军力排行榜,military
姆巴佩社交媒体粉丝突破2万,sports
5G芯片性能跑分曝光，超越英伟达旗舰,technology
田径联赛最新积分榜：国际米兰领跑,sports
社保基金全年增持白酒股，持仓曝光,finance
勇士连续10场不胜，球迷呼吁换帅,sports
Meta在深圳设立光刻研究院,technology
微软发布搜索引擎，搭载AIGC技术,technology
俄罗斯特种部队举行大规模实弹演习,military
联合国峰会讨论南海安全局势,military
英国向印度出售3架彩虹无人机,military
韩国队在世界杯中爆冷击败英格兰队,sports
韩国空军装备3架B-21,military
综艺《跑男》第三季回归，刘诗诗加盟,entertainment
美国空军阵风完成首飞,military
IPO最新消息：亚马逊计划在港交所上市,finance
特斯拉最新智能手表正式开售，售价6999元起,technology
AI助手评测：AI性能提升50%,technology
分析人士：美国在台海的军事存在持续增强,military
金像奖红毯造型盘点：张译惊艳亮相,entertainment
华为推出混合现实开发者平台,technology
梅西因违规被禁赛50场,sports
工商银行股价暴涨0.5%，市值突破50亿,finance
电视剧《玫瑰的故事》热播，豆瓣评分高达9.2,entertainment
法网抽签结果出炉，切尔西遭遇阿森纳,sports
以色列向中国出售12架彩虹无人机,military
《繁花》选角争议：网友热议龚俊是否适合角色,entertainment
搜索引擎被曝存在信号不稳定问题，阿里回应将尽快修复,technology
